style,files
.distribution-plot,frontend/src/components/CandidateAnalysisPanel/CandidateAnalysisPanel.tsx;frontend/src/styles/global.css
.distribution-regions,frontend/src/components/CandidateAnalysisPanel/CandidateAnalysisPanel.tsx;frontend/src/styles/global.css
.distribution-row,frontend/src/components/GraphStatisticsPanel/GraphStatisticsPanel.tsx;frontend/src/styles/global.css
.distribution-scale,frontend/src/components/CandidateAnalysisPanel/CandidateAnalysisPanel.tsx;frontend/src/styles/global.css
.distribution-value,frontend/src/styles/global.css
.embedded-node-panel,frontend/src/components/ContextPanel/views/RelationshipView/RelationshipView.tsx;frontend/src/styles/global.css
.error,backend/api.py;backend/database.py;backend/graph_grammar.py;backend/llm.py;backend/ontology_loader.py;backend/test_ontology_loader.py;docs/api.md;docs/node_edit_for_users.md;frontend/src/App.tsx;frontend/src/Graph.tsx;frontend/src/components/AddRelationshipPanel/AddRelationshipPanel.tsx;frontend/src/components/CandidateAnalysisPanel/CandidateAnalysisPanel.tsx;frontend/src/components/ContextPanel/components/NodeDetailsPanel/NodeDetailsPanel.tsx;frontend/src/components/ContextPanel/components/RelationshipDetailsPanel/RelationshipDetailsPanel.tsx;frontend/src/components/GenerateRelatedNodesPanel/GenerateRelatedNodesPanel.tsx;frontend/src/grammar/GrammarStatisticsPanel.tsx;frontend/src/services/GraphService.ts;frontend/src/services/LLMService.ts;frontend/src/services/SchemaService.ts;frontend/src/services/__tests__/GraphService.test.ts;frontend/src/services/__tests__/SchemaService.test.ts;frontend/src/styles/global.css;frontend/src/utils/curve.ts
.error-message,frontend/src/components/ContextPanel/components/NodeDetailsPanel/NodeDetailsPanel.tsx;frontend/src/components/ContextPanel/components/RelationshipDetailsPanel/RelationshipDetailsPanel.tsx;frontend/src/components/GenerateRelatedNodesPanel/GenerateRelatedNodesPanel.tsx;frontend/src/styles/global.css
.form-actions,frontend/src/components/AddNodePanel/AddNodePanel.tsx;frontend/src/components/AddRelationshipPanel/AddRelationshipPanel.tsx;frontend/src/grammar/AddNodeTypeForm.tsx;frontend/src/grammar/AddRelationshipTypeForm.tsx;frontend/src/grammar/GrammarPage.tsx;frontend/src/grammar/NodeTypeDetailsPanel.tsx;frontend/src/grammar/RelationshipTypeDetailsPanel.tsx;frontend/src/styles/global.css
.form-actions--single,frontend/src/styles/global.css
.form-actions--split,frontend/src/styles/global.css
.form-base,frontend/src/components/AddNodePanel/AddNodePanel.tsx;frontend/src/components/AddRelationshipPanel/AddRelationshipPanel.tsx;frontend/src/components/GenerateRelatedNodesPanel/GenerateRelatedNodesPanel.tsx;frontend/src/grammar/AddNodeTypeForm.tsx;frontend/src/grammar/AddRelationshipTypeForm.tsx;frontend/src/styles/global.css
.form-content,frontend/src/components/AddNodePanel/AddNodePanel.tsx;frontend/src/components/AddRelationshipPanel/AddRelationshipPanel.tsx;frontend/src/styles/global.css
.form-control,frontend/src/components/AddNodePanel/AddNodePanel.tsx;frontend/src/components/AddRelationshipPanel/AddRelationshipPanel.tsx;frontend/src/components/GenerateRelatedNodesPanel/GenerateRelatedNodesPanel.tsx;frontend/src/components/SearchPanel/SearchPanel.tsx;frontend/src/grammar/AddNodeTypeForm.tsx;frontend/src/grammar/AddRelationshipTypeForm.tsx;frontend/src/grammar/NodeTypeDetailsPanel.tsx;frontend/src/grammar/RelationshipTypeDetailsPanel.tsx;frontend/src/styles/global.css
.form-group,frontend/src/components/AddNodePanel/AddNodePanel.tsx;frontend/src/components/AddRelationshipPanel/AddRelationshipPanel.tsx;frontend/src/components/GenerateRelatedNodesPanel/GenerateRelatedNodesPanel.tsx;frontend/src/grammar/AddNodeTypeForm.tsx;frontend/src/grammar/AddRelationshipTypeForm.tsx;frontend/src/grammar/NodeTypeDetailsPanel.tsx;frontend/src/grammar/RelationshipTypeDetailsPanel.tsx;frontend/src/styles/global.css
.form-header,frontend/src/components/AddRelationshipPanel/AddRelationshipPanel.tsx;frontend/src/styles/global.css
.form-heading,frontend/src/components/AddNodePanel/AddNodePanel.tsx;frontend/src/components/AddRelationshipPanel/AddRelationshipPanel.tsx;frontend/src/components/GenerateRelatedNodesPanel/GenerateRelatedNodesPanel.tsx;frontend/src/styles/global.css
.generate-button,frontend/src/components/GenerateRelatedNodesPanel/GenerateRelatedNodesPanel.tsx;frontend/src/styles/global.css
.generator-form,frontend/src/components/GenerateRelatedNodesPanel/GenerateRelatedNodesPanel.tsx;frontend/src/styles/global.css
.generator-header,frontend/src/components/GenerateRelatedNodesPanel/GenerateRelatedNodesPanel.tsx;frontend/src/styles/global.css
.grammar-header,frontend/src/grammar/GrammarPage.tsx;frontend/src/styles/global.css
.grammar-nav-panel,frontend/src/grammar/GrammarPage.tsx;frontend/src/styles/global.css
.grammar-page,frontend/src/grammar/GrammarPage.tsx;frontend/src/styles/global.css
.grammar-stats-panel,frontend/src/grammar/GrammarStatisticsPanel.tsx;frontend/src/styles/global.css
.graph,README.md;backend/api.py;backend/database.py;backend/expander.py;backend/grammartypes/narragrammar.json;backend/graph_grammar.py;backend/graph_statistics.py;backend/llm.py;backend/models.py;backend/narragrammar.json;docs/api.md;docs/architecture.md;frontend/src/App.tsx;frontend/src/Graph.tsx;frontend/src/components/AddNodePanel/AddNodePanel.tsx;frontend/src/components/AddRelationshipPanel/AddRelationshipPanel.tsx;frontend/src/components/CandidateAnalysisPanel/CandidateAnalysisPanel.tsx;frontend/src/components/ContextPanel/ContextPanel.tsx;frontend/src/components/ContextPanel/components/NodeDetailsPanel/NodeDetailsPanel.tsx;frontend/src/components/ContextPanel/components/RelationshipDetailsPanel/RelationshipDetailsPanel.tsx;frontend/src/components/ContextPanel/views/NodeView/NodeView.tsx;frontend/src/components/ContextPanel/views/RelationshipView/RelationshipView.tsx;frontend/src/components/GenerateRelatedNodesPanel/GenerateRelatedNodesPanel.tsx;frontend/src/components/Graph/Graph.tsx;frontend/src/components/SearchPanel/SearchPanel.tsx;frontend/src/services/GraphService.ts;frontend/src/services/LLMService.ts;frontend/src/services/SchemaService.ts;frontend/src/styles/global.css;frontend/src/types/graph.ts
.graph-area,frontend/src/App.tsx;frontend/src/styles/global.css
.graph-container,frontend/src/App.tsx;frontend/src/styles/global.css
.graph-error,frontend/src/styles/global.css
